epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.7053,1.67324,3.16277,1.26791,0.62614,0.59639,0.61305,0.37001,1.29568,1.38797,1.12583,0.00333043,0.00333043,0.00333043
2,124.513,1.61879,2.10716,1.27481,0.67119,0.64407,0.704,0.44331,1.23318,1.2685,1.12909,0.00663077,0.00663077,0.00663077
3,181.773,1.64499,1.78102,1.31029,0.66853,0.75221,0.73729,0.44538,1.29609,1.18049,1.15116,0.00989812,0.00989812,0.00989812
4,238.214,1.64433,1.5538,1.32454,0.70562,0.72547,0.75696,0.47725,1.22737,1.12902,1.11056,0.0098515,0.0098515,0.0098515
5,294.199,1.58094,1.35544,1.29603,0.79695,0.70185,0.76653,0.4962,1.16944,0.99448,1.09283,0.009802,0.009802,0.009802
6,350.348,1.53952,1.2627,1.27659,0.8103,0.78171,0.83726,0.56306,1.09508,0.88144,1.06597,0.0097525,0.0097525,0.0097525
7,406.865,1.51349,1.19776,1.25789,0.84775,0.78471,0.83272,0.54797,1.09571,0.87666,1.03824,0.009703,0.009703,0.009703
8,463.253,1.48079,1.12641,1.24688,0.83549,0.7779,0.84611,0.57297,1.07985,0.84325,1.04294,0.0096535,0.0096535,0.0096535
9,519.457,1.45985,1.08496,1.22779,0.85414,0.78787,0.86592,0.5949,1.02394,0.81323,1.0086,0.009604,0.009604,0.009604
10,575.464,1.4526,1.05226,1.21859,0.87462,0.818,0.87644,0.60025,1.02333,0.77677,1.01177,0.0095545,0.0095545,0.0095545
11,631.363,1.42822,1.01907,1.21317,0.87523,0.82157,0.89148,0.62463,0.9779,0.71647,0.99127,0.009505,0.009505,0.009505
12,687.264,1.40394,0.99336,1.19496,0.88236,0.85657,0.91525,0.64085,0.98219,0.67134,0.98542,0.0094555,0.0094555,0.0094555
13,743.353,1.38307,0.97175,1.18431,0.87743,0.85082,0.90947,0.63967,0.96679,0.69294,0.98057,0.009406,0.009406,0.009406
14,798.454,1.37271,0.9484,1.1782,0.86773,0.86439,0.91564,0.64962,0.9575,0.63481,0.97954,0.0093565,0.0093565,0.0093565
15,853.444,1.35099,0.93185,1.16265,0.8725,0.86,0.90427,0.64154,0.95204,0.681,0.97504,0.009307,0.009307,0.009307
16,908.346,1.34529,0.91406,1.15945,0.90027,0.88122,0.93188,0.67272,0.92335,0.61742,0.9662,0.0092575,0.0092575,0.0092575
17,963.299,1.31963,0.89754,1.15097,0.88992,0.88332,0.93589,0.67921,0.90718,0.58037,0.95753,0.009208,0.009208,0.009208
18,1018.23,1.31312,0.88526,1.14372,0.89109,0.88613,0.92917,0.67953,0.90082,0.59568,0.96025,0.0091585,0.0091585,0.0091585
19,1073.19,1.30759,0.87685,1.14152,0.90381,0.88655,0.93637,0.68317,0.89261,0.56738,0.94828,0.009109,0.009109,0.009109
20,1128.18,1.30059,0.86246,1.13563,0.89333,0.87774,0.92948,0.67666,0.90063,0.59381,0.95375,0.0090595,0.0090595,0.0090595
21,1183.15,1.28845,0.85447,1.13286,0.89506,0.89974,0.93665,0.68873,0.89705,0.54617,0.95368,0.00901,0.00901,0.00901
22,1238.22,1.27798,0.83938,1.12835,0.92471,0.88364,0.93971,0.6974,0.87706,0.52805,0.94823,0.0089605,0.0089605,0.0089605
23,1293.18,1.27408,0.83785,1.12138,0.92479,0.90323,0.94801,0.71399,0.85211,0.5104,0.93715,0.008911,0.008911,0.008911
24,1348.08,1.26666,0.82701,1.11829,0.91427,0.90101,0.94111,0.70761,0.85332,0.51679,0.93924,0.0088615,0.0088615,0.0088615
25,1403.08,1.25925,0.81564,1.11137,0.9086,0.89622,0.94302,0.70783,0.85269,0.51632,0.93463,0.008812,0.008812,0.008812
26,1458,1.25092,0.80907,1.10955,0.91809,0.9051,0.94664,0.71592,0.84684,0.50249,0.93059,0.0087625,0.0087625,0.0087625
27,1512.95,1.24468,0.80048,1.10357,0.92361,0.90902,0.95011,0.71649,0.83175,0.49136,0.92621,0.008713,0.008713,0.008713
28,1567.88,1.23454,0.79309,1.10202,0.92226,0.89427,0.94707,0.71143,0.82921,0.50685,0.92408,0.0086635,0.0086635,0.0086635
29,1622.8,1.23612,0.79113,1.10013,0.92843,0.90595,0.94818,0.72228,0.82054,0.49104,0.92127,0.008614,0.008614,0.008614
30,1677.78,1.22145,0.78072,1.09175,0.92589,0.91826,0.95547,0.72558,0.82192,0.47583,0.92053,0.0085645,0.0085645,0.0085645
31,1732.75,1.22908,0.78673,1.09429,0.91823,0.91054,0.94948,0.72357,0.82416,0.48715,0.92107,0.008515,0.008515,0.008515
32,1787.73,1.21886,0.77152,1.08944,0.92894,0.89848,0.95025,0.72029,0.82889,0.48538,0.92326,0.0084655,0.0084655,0.0084655
33,1842.73,1.21002,0.76922,1.08763,0.92376,0.92111,0.9532,0.71895,0.82717,0.47534,0.92136,0.008416,0.008416,0.008416
34,1897.7,1.20406,0.76009,1.08766,0.9372,0.91299,0.95125,0.72325,0.81223,0.46344,0.92137,0.0083665,0.0083665,0.0083665
35,1952.76,1.20226,0.75468,1.0815,0.92742,0.91639,0.9511,0.72464,0.80982,0.47112,0.91635,0.008317,0.008317,0.008317
36,2007.75,1.19507,0.74822,1.07717,0.92166,0.91205,0.95074,0.72263,0.80347,0.47489,0.91175,0.0082675,0.0082675,0.0082675
37,2062.71,1.19714,0.74512,1.07796,0.92422,0.91778,0.95165,0.7282,0.80311,0.47124,0.91184,0.008218,0.008218,0.008218
38,2117.7,1.1929,0.74494,1.07729,0.9317,0.91993,0.95282,0.7333,0.80692,0.46341,0.91161,0.0081685,0.0081685,0.0081685
39,2172.68,1.18996,0.74097,1.07439,0.93305,0.92003,0.95422,0.73451,0.80239,0.45662,0.91129,0.008119,0.008119,0.008119
40,2227.57,1.18488,0.74262,1.07467,0.94761,0.90719,0.95263,0.73175,0.8022,0.45357,0.9105,0.0080695,0.0080695,0.0080695
41,2282.44,1.17345,0.73104,1.06705,0.93733,0.9146,0.95421,0.7335,0.79966,0.45576,0.90908,0.00802,0.00802,0.00802
42,2337.41,1.17275,0.72401,1.06865,0.93664,0.91765,0.95541,0.73679,0.79585,0.45254,0.90841,0.0079705,0.0079705,0.0079705
43,2392.26,1.16477,0.72134,1.06359,0.93789,0.91409,0.95415,0.73695,0.79209,0.45357,0.90724,0.007921,0.007921,0.007921
44,2447.18,1.17308,0.72729,1.06698,0.93253,0.91811,0.95579,0.73624,0.7926,0.45007,0.90661,0.0078715,0.0078715,0.0078715
45,2502.19,1.156,0.71816,1.05807,0.93662,0.91609,0.95652,0.73888,0.79228,0.44659,0.90704,0.007822,0.007822,0.007822
46,2557.14,1.1612,0.71363,1.05845,0.93592,0.92001,0.95671,0.7381,0.79063,0.44551,0.9056,0.0077725,0.0077725,0.0077725
47,2612.1,1.15384,0.71202,1.05787,0.93194,0.9209,0.95713,0.73841,0.78916,0.44495,0.90412,0.007723,0.007723,0.007723
48,2667,1.15515,0.71046,1.05672,0.93435,0.92107,0.95784,0.74138,0.78565,0.44049,0.9038,0.0076735,0.0076735,0.0076735
49,2721.93,1.1529,0.70988,1.05702,0.92963,0.92374,0.95758,0.74092,0.78359,0.44114,0.90356,0.007624,0.007624,0.007624
50,2776.93,1.14496,0.69819,1.05125,0.93139,0.9219,0.95724,0.74211,0.78256,0.44086,0.90295,0.0075745,0.0075745,0.0075745
51,2831.88,1.13297,0.68968,1.04631,0.9316,0.91872,0.95633,0.74193,0.77841,0.44145,0.9011,0.007525,0.007525,0.007525
52,2886.82,1.14201,0.69925,1.05166,0.93191,0.92164,0.95665,0.74277,0.77679,0.43972,0.90067,0.0074755,0.0074755,0.0074755
53,2941.73,1.13086,0.69446,1.04526,0.93108,0.92219,0.95672,0.74526,0.7754,0.43765,0.90141,0.007426,0.007426,0.007426
54,2996.73,1.13244,0.68866,1.04698,0.92941,0.92688,0.95709,0.74489,0.7736,0.43405,0.90102,0.0073765,0.0073765,0.0073765
55,3051.69,1.12652,0.68695,1.04484,0.93205,0.92539,0.95702,0.74398,0.77287,0.43338,0.90093,0.007327,0.007327,0.007327
56,3106.51,1.12685,0.68827,1.04452,0.93174,0.92991,0.95718,0.74368,0.77174,0.4306,0.89987,0.0072775,0.0072775,0.0072775
57,3161.38,1.12525,0.68599,1.04318,0.93302,0.93166,0.95744,0.74301,0.7707,0.42859,0.8993,0.007228,0.007228,0.007228
58,3216.33,1.11827,0.67951,1.03912,0.93523,0.92932,0.95777,0.74515,0.77027,0.42892,0.89891,0.0071785,0.0071785,0.0071785
59,3271.25,1.12078,0.67744,1.03828,0.93465,0.92806,0.9574,0.74503,0.76901,0.42765,0.89794,0.007129,0.007129,0.007129
60,3326.12,1.10583,0.67023,1.03408,0.92943,0.93046,0.95715,0.74515,0.76873,0.42756,0.89703,0.0070795,0.0070795,0.0070795
61,3381.12,1.11282,0.66957,1.03946,0.92945,0.9306,0.95718,0.74538,0.76879,0.42669,0.89669,0.00703,0.00703,0.00703
62,3436.11,1.1079,0.66593,1.0348,0.93155,0.93058,0.95731,0.74486,0.76739,0.42664,0.89638,0.0069805,0.0069805,0.0069805
63,3491.05,1.10534,0.66412,1.03484,0.92735,0.9322,0.95738,0.74506,0.76727,0.42606,0.89632,0.006931,0.006931,0.006931
64,3545.93,1.10147,0.66015,1.03112,0.92813,0.93212,0.95766,0.74653,0.76726,0.4253,0.89626,0.0068815,0.0068815,0.0068815
65,3600.98,1.09963,0.66107,1.03157,0.93008,0.93192,0.95792,0.74745,0.76691,0.42462,0.89622,0.006832,0.006832,0.006832
66,3655.95,1.09811,0.66056,1.029,0.93109,0.93204,0.95795,0.74872,0.7656,0.42368,0.89602,0.0067825,0.0067825,0.0067825
67,3710.9,1.09479,0.66098,1.02969,0.93297,0.93073,0.95818,0.74695,0.76541,0.42242,0.89593,0.006733,0.006733,0.006733
68,3765.82,1.09472,0.65678,1.02879,0.93445,0.92994,0.95809,0.74727,0.76458,0.42205,0.89563,0.0066835,0.0066835,0.0066835
69,3820.79,1.09452,0.65634,1.02918,0.93549,0.93133,0.95909,0.74709,0.76433,0.42173,0.89571,0.006634,0.006634,0.006634
70,3875.75,1.09167,0.65548,1.02444,0.93512,0.9303,0.95871,0.74736,0.76396,0.42101,0.8953,0.0065845,0.0065845,0.0065845
71,3930.7,1.09101,0.65483,1.02718,0.93525,0.93096,0.95871,0.74842,0.7638,0.42014,0.89508,0.006535,0.006535,0.006535
72,3985.65,1.0819,0.6505,1.02111,0.93492,0.93113,0.95884,0.74858,0.76331,0.41975,0.89485,0.0064855,0.0064855,0.0064855
73,4040.57,1.08059,0.64696,1.02131,0.93513,0.93208,0.95896,0.7488,0.76302,0.41916,0.89477,0.006436,0.006436,0.006436
74,4095.53,1.07999,0.64501,1.02048,0.93666,0.92997,0.95952,0.74847,0.76301,0.41884,0.89471,0.0063865,0.0063865,0.0063865
